pH,temperature,sulfate,id,log,normalise,elevate
5.83,81.5,111,386,2.045322979,0.429672043,145
6.83,97.2,114,558,2.056904851,0.433688049,144
8.77,89,116,333,2.064457989,0.436307095,144
6.03,81.3,117,632,2.068185862,0.437599733,143
6.07,62.6,118,636,2.071882007,0.438881369,143
6.22,74.6,119,322,2.075546961,0.440152189,143
6.88,33.7,120,318,2.079181246,0.441412375,142
7.42,99,121,556,2.08278537,0.442662103,142
7.15,85.2,121,568,2.08278537,0.442662103,142
6.07,73.9,121,633,2.08278537,0.442662103,142
5.46,72.4,122,341,2.086359831,0.443901545,142
6.19,41.4,123,436,2.089905111,0.445130869,141
8.78,97.2,123,332,2.089905111,0.445130869,141
7.22,42.8,123,409,2.089905111,0.445130869,141
5.28,43,123,535,2.089905111,0.445130869,141
8.28,94.9,125,328,2.096910013,0.447559814,141
6.05,18,129,320,2.11058971,0.45230324,140
8.27,35.4,129,321,2.11058971,0.45230324,140
8.39,97.4,131,330,2.117271296,0.454620075,139
5.53,60.6,131,655,2.117271296,0.454620075,139
8.66,62.1,133,501,2.123851641,0.456901806,138
8.02,89.1,135,414,2.130333768,0.459149479,138
8.61,47.3,135,474,2.130333768,0.459149479,138
8.47,69.1,137,476,2.136720567,0.461364098,137
6.05,83.5,137,668,2.136720567,0.461364098,137
8.7,94.4,138,471,2.139879086,0.462459312,137
8.04,99.4,141,470,2.149219113,0.46569796,136
8.07,90.1,141,475,2.149219113,0.46569796,136
8.76,98.5,143,477,2.155336037,0.467819,136
8.9,65.6,144,503,2.158362492,0.468868421,135
7.64,97,145,331,2.161368002,0.46991058,135
6.71,45.2,146,670,2.164352856,0.470945576,135
5.44,40.1,146,672,2.164352856,0.470945576,135
5.55,54.6,147,517,2.167317335,0.471973507,135
8.96,53.7,148,502,2.170261715,0.472994469,134
5.86,68.7,149,549,2.173186268,0.474008556,134
7.65,98.8,150,325,2.176091259,0.47501586,134
8.22,88.6,152,326,2.181843588,0.477010476,133
8.38,83.7,153,504,2.184691431,0.477997964,133
6.62,34.2,155,391,2.190331698,0.479953723,133
7.34,40.3,155,567,2.190331698,0.479953723,133
7.91,77.2,157,473,2.195899652,0.481884408,132
4.94,17.5,158,339,2.198657087,0.482840546,132
5.89,64,158,389,2.198657087,0.482840546,132
6.45,39.5,158,392,2.198657087,0.482840546,132
8.08,85.3,158,505,2.198657087,0.482840546,132
6.08,76.6,158,548,2.198657087,0.482840546,132
4.37,27.2,159,671,2.201397124,0.483790653,132
7.91,72.9,161,520,2.206825876,0.485673069,131
6.44,57.5,162,547,2.209515015,0.486605526,131
6.49,95.2,164,327,2.214843848,0.488453295,130
6.25,86,168,329,2.225309282,0.492082178,130
5.16,31.1,168,630,2.225309282,0.492082178,130
5.66,90.5,169,381,2.227886705,0.492975898,129
6.53,51.9,171,412,2.23299611,0.494747581,129
4.87,35.7,173,631,2.238046103,0.496498662,128
5.27,64,174,619,2.240549248,0.497366626,128
7.51,79.9,175,563,2.243038049,0.498229616,128
4.72,70,178,382,2.250420002,0.500789304,127
3.15,59.3,178,642,2.250420002,0.500789304,127
8.35,66.1,180,564,2.255272505,0.502471906,127
6.08,50.9,181,521,2.257678575,0.503306209,127
6.47,26.4,183,638,2.26245109,0.504961076,126
4.27,35.4,183,658,2.26245109,0.504961076,126
6.37,79.9,184,648,2.264817823,0.505781739,126
6.4,62.9,185,667,2.267171728,0.506597954,126
6.05,60.2,188,383,2.274157849,0.509020387,125
6.21,69.6,190,651,2.278753601,0.510613961,125
5.76,61.4,191,550,2.281033367,0.511404469,125
6.66,48.5,195,396,2.290034611,0.514525644,124
6.72,49.9,198,316,2.29666519,0.516824793,123
7.41,49.6,198,317,2.29666519,0.516824793,123
6.53,49.8,199,315,2.298853076,0.517583441,123
2.66,27.8,200,663,2.301029996,0.518338287,123
6.02,51.2,201,384,2.303196057,0.519089367,123
5.97,29,201,669,2.303196057,0.519089367,123
5.88,90.5,205,532,2.311753861,0.52205678,122
2.95,33.5,206,338,2.31386722,0.522789586,122
4.8,67.2,209,337,2.320146286,0.524966848,121
